killer_champion	victim_champion
Lee Sin	Nidalee
Lee Sin	Shen
Lucian	Zed
Zac	Darius
Lux	Darius
Zac	Lee Sin
Lux	Lee Sin
Gnar	Darius
Miss Fortune	Lux
Gnar	Darius
Lee Sin	Zac
Lee Sin	Gnar
Miss Fortune	Sivir
Miss Fortune	Soraka
Gnar	Miss Fortune
Lux	Bard
Lux	Lulu
Darius	Lux
Gnar	Darius
Lux	Lulu
Sivir	Bard
Lee Sin	Lux
Gnar	Miss Fortune
Gnar	Lee Sin
Zac	Lulu
Zac	Bard
Zac	Lee Sin
Lux	Darius
Lee Sin	Zac
Darius	Soraka
Gnar	Darius
Sivir	Lee Sin
Gnar	Darius
Lux	Bard
Zac	Lulu
Zac	Miss Fortune
Lee Sin	Soraka
Sivir	Lee Sin
Sivir	Miss Fortune
Zac	Bard
Sivir	Darius
Twisted Fate	Tristana
Nidalee	Kennen
Tristana	Malzahar
Master Yi	Darius
Malzahar	Tristana
Malzahar	Thresh
Master Yi	Syndra
Darius	Kennen
Syndra	Twisted Fate
Malzahar	Tristana
Nidalee	Janna
Master Yi	Darius
Nidalee	Kennen
Master Yi	Nidalee
Darius	Kennen
Malzahar	Nidalee
Twisted Fate	Tristana
Syndra	Janna
Master Yi	Darius
Master Yi	Syndra
Nidalee	Malzahar
Nidalee	Malzahar
Syndra	Janna
Nidalee	Master Yi
Tristana	Twisted Fate
Kennen	Syndra
Nidalee	Kennen
Syndra	Malzahar
Master Yi	Darius
Twisted Fate	Tristana
Master Yi	Syndra
Syndra	Master Yi
Malzahar	Nidalee
Twisted Fate	Darius
Malzahar	Tristana
Syndra	Malzahar
Nidalee	Janna
Master Yi	Nidalee
Master Yi	Thresh
Tristana	Master Yi
Kennen	Tristana
Syndra	Malzahar
Darius	Janna
Master Yi	Darius
Syndra	Master Yi
Malzahar	Thresh
Twisted Fate	Syndra
Nidalee	Twisted Fate
Nidalee	Janna
Master Yi	Nidalee
Master Yi	Darius
Tristana	Malzahar
Darius	Malzahar
Kennen	Syndra
Nidalee	Master Yi
Nidalee	Kennen
Malzahar	Thresh
Bard	Miss Fortune
Pantheon	Twisted Fate
Twisted Fate	Pantheon
Bard	Zyra
Quinn	Miss Fortune
Nidalee	Gangplank
Twisted Fate	Pantheon
Zilean	Zyra
Twisted Fate	Pantheon
Quinn	Ryze
Nidalee	Zilean
Zyra	Bard
Gangplank	Ryze
Zyra	Bard
Pantheon	Zilean
Twisted Fate	Nidalee
Pantheon	Quinn
Ryze	Twisted Fate
Bard	Zyra
Miss Fortune	Zilean
Pantheon	Bard
Zyra	Zilean
Quinn	Miss Fortune
Quinn	Zyra
Twisted Fate	Pantheon
Quinn	Ryze
Miss Fortune	Quinn
Nidalee	Twisted Fate
Twisted Fate	Ryze
Pantheon	Zilean
Miss Fortune	Bard
Quinn	Nidalee
Quinn	Zyra
Gangplank	Nidalee
Zyra	Gangplank
Quinn	Ryze
Twisted Fate	Zyra
Twisted Fate	Pantheon
Pantheon	Quinn
Miss Fortune	Zilean
Nidalee	Bard
Gangplank	Miss Fortune
Twisted Fate	Ryze
Nidalee	Twisted Fate
Nidalee	Quinn
Gangplank	Pantheon
Miss Fortune	Zilean
Gangplank	Pantheon
Zilean	Zyra
Twisted Fate	Miss Fortune
Twisted Fate	Pantheon
Ryze	Twisted Fate
Twisted Fate	Ryze
Pantheon	Quinn
Nidalee	Bard
Ryze	Zilean
Zyra	Gangplank
Pantheon	Zilean
Nidalee	Gangplank
Zyra	Bard
Quinn	Pantheon
Riven	Janna
Nami	Miss Fortune
Shen	Lulu
Miss Fortune	Nami
Riven	Gangplank
Nidalee	Quinn
Nami	Nidalee
Nidalee	Lulu
Miss Fortune	Quinn
Nidalee	Twisted Fate
Gangplank	Riven
Miss Fortune	Quinn
Miss Fortune	Twisted Fate
Nidalee	Riven
Miss Fortune	Quinn
Riven	Miss Fortune
Riven	Janna
Twisted Fate	Gangplank
Nami	Shen
Nidalee	Twisted Fate
Riven	Miss Fortune
Riven	Nidalee
Miss Fortune	Riven
Twisted Fate	Nidalee
Lulu	Miss Fortune
Nidalee	Riven
Miss Fortune	Quinn
Twisted Fate	Janna
Lulu	Gangplank
Miss Fortune	Lulu
Riven	Shen
Miss Fortune	Nami
Nidalee	Lulu
Gangplank	Twisted Fate
Miss Fortune	Quinn
Lucian	Sivir
Thresh	Lucian
Kennen	Rek'Sai
Fiora	Kennen
Graves	Fiora
Alistar	Graves
Thresh	Lucian
Rek'Sai	Ekko
Rek'Sai	Graves
Rek'Sai	Kennen
Lucian	Thresh
Lucian	Graves
Rek'Sai	Thresh
Fiora	Sivir
Lucian	Graves
Sivir	Lucian
Fiora	Ekko
Rek'Sai	Graves
Ryze	Sivir
Fiora	Thresh
Kennen	Lucian
Rek'Sai	Kennen
Ryze	Ekko
Fiora	Graves
Alistar	Sivir
Thresh	Fiora
Alistar	Thresh
Ryze	Kennen
Thresh	Lucian
Fiora	Ekko
Ryze	Graves
Ekko	Rek'Sai
Lucian	Sivir
Lucian	Thresh
Lucian	Kennen
Tristana	Sivir
Twitch	Gangplank
Gangplank	Twitch
Twitch	Sivir
Tristana	Lee Sin
Viktor	Bard
Gangplank	Tristana
Thresh	Gangplank
Lissandra	Riven
Lee Sin	Riven
Tristana	Sivir
Bard	Thresh
Twitch	Bard
Riven	Gangplank
Riven	Lissandra
Lee Sin	Riven
Viktor	Lee Sin
Viktor	Gangplank
Sivir	Thresh
Tristana	Sivir
Bard	Tristana
Twitch	Bard
Lee Sin	Twitch
Gangplank	Riven
Viktor	Lissandra
Lee Sin	Tristana
Lissandra	Twitch
Gangplank	Thresh
Riven	Bard
Viktor	Sivir
Riven	Gangplank
Tristana	Lissandra
Lee Sin	Twitch
Viktor	Lee Sin
Tristana	Gangplank
Riven	Bard
Sivir	Thresh
Tristana	Sivir
Tristana	Sivir
Viktor	Lee Sin
Bard	Twitch
Viktor	Bard
Riven	Gangplank
Gangplank	Tristana
Thresh	Sivir
Riven	Lissandra
Bard	Thresh
Bard	Riven
Viktor	Gangplank
Bard	Twitch
Tristana	Bard
Tristana	Lee Sin
Gangplank	Twitch
Thresh	Lissandra
Bard	Riven
Tristana	Lee Sin
Viktor	Lissandra
Viktor	Sivir
Tristana	Bard
Tristana	Lee Sin
Lee Sin	Nidalee
Lee Sin	Nidalee
Shen	Twitch
Twitch	Ezreal
Shen	Thresh
Nidalee	Shen
Irelia	Thresh
Talon	Lee Sin
Nidalee	Annie
Nidalee	Irelia
Lee Sin	Talon
Annie	Kennen
Nidalee	Irelia
Lee Sin	Talon
Lee Sin	Kennen
Irelia	Kennen
Shen	Thresh
Annie	Talon
Ezreal	Nidalee
Lee Sin	Thresh
Lee Sin	Twitch
Annie	Kennen
Thresh	Irelia
Nidalee	Annie
Annie	Thresh
Talon	Shen
Nidalee	Lee Sin
Talon	Ezreal
Talon	Irelia
Annie	Nidalee
Kennen	Annie
Talon	Ezreal
Twitch	Lee Sin
Irelia	Thresh
Twitch	Irelia
Annie	Talon
Nidalee	Annie
Lee Sin	Talon
Irelia	Nidalee
Annie	Talon
Twitch	Shen
Talon	Annie
Lee Sin	Kennen
Twitch	Lee Sin
Irelia	Twitch
Ezreal	Nidalee
Annie	Thresh
Talon	Annie
Irelia	Talon
Ezreal	Nidalee
Irelia	Twitch
Kennen	Shen
Ezreal	Kennen
Irelia	Nidalee
Talon	Shen
Talon	Annie
Ezreal	Talon
Ezreal	Twitch
Irelia	Kennen
Lee Sin	Thresh
Rengar	Twisted Fate
Nidalee	Gnar
LeBlanc	Nidalee
Rengar	Nidalee
Darius	Gnar
Rengar	Darius
Twisted Fate	LeBlanc
Tristana	Ezreal
Nidalee	Braum
Janna	Tristana
Gnar	Darius
Nidalee	Tristana
Twisted Fate	Rengar
Braum	Nidalee
Nidalee	Gnar
Rengar	Nidalee
Rengar	Darius
Rengar	Janna
Twisted Fate	Braum
LeBlanc	Nidalee
Darius	Gnar
Rengar	Ezreal
Darius	Gnar
Tristana	Nidalee
Nidalee	Rengar
LeBlanc	Darius
Nidalee	LeBlanc
Twisted Fate	Tristana
Rengar	Twisted Fate
Darius	Braum
Darius	Rengar
Gnar	Nidalee
Tristana	Darius
LeBlanc	Ezreal
Rengar	Janna
Nidalee	Gnar
Twisted Fate	Rengar
Braum	Darius
LeBlanc	Janna
Ezreal	Tristana
Tristana	Ezreal
LeBlanc	Nidalee
LeBlanc	Twisted Fate
Rengar	Darius
Twisted Fate	LeBlanc
Ezreal	Rengar
Darius	Rengar
Ezreal	Braum
Nidalee	Tristana
Darius	Gnar
Nidalee	LeBlanc
Darius	Braum
Rengar	Nidalee
Rengar	Ezreal
Darius	Rengar
Miss Fortune	Shen
Lee Sin	Bard
Morgana	Miss Fortune
Zed	Twisted Fate
Nidalee	Lee Sin
Nidalee	Zed
Nidalee	Shen
Miss Fortune	Shen
Lee Sin	Bard
Nidalee	Lee Sin
Miss Fortune	Lee Sin
Zed	Twisted Fate
Miss Fortune	Zed
Nidalee	Shen
Morgana	Bard
Lee Sin	Nidalee
Bard	Lee Sin
Zed	Dr. Mundo
Zed	Miss Fortune
Bard	Zed
Bard	Shen
Morgana	Bard
Twisted Fate	Tristana
Lee Sin	Nidalee
Bard	Lee Sin
Bard	Lee Sin
Tristana	Twisted Fate
Miss Fortune	Shen
Miss Fortune	Tristana
Zed	Dr. Mundo
Miss Fortune	Morgana
Zed	Nidalee
Miss Fortune	Zed
Twisted Fate	Shen
Lee Sin	Bard
Miss Fortune	Shen
Zed	Miss Fortune
Twisted Fate	Zed
Nidalee	Morgana
Shen	Nidalee
Lee Sin	Bard
Miss Fortune	Lee Sin
Miss Fortune	Shen
Morgana	Miss Fortune
Twisted Fate	Shen
Zed	Nidalee
Miss Fortune	Zed
Zed	Miss Fortune
Morgana	Bard
Twisted Fate	Lee Sin
Tristana	Twisted Fate
Zed	Twisted Fate
Tristana	Nidalee
Miss Fortune	Zed
Zed	Miss Fortune
Lee Sin	Dr. Mundo
Lee Sin	Bard
Morgana	Dr. Mundo
Morgana	Nidalee
Miss Fortune	Tristana
Dr. Mundo	Shen
Morgana	Miss Fortune
Bard	Morgana
Zed	Nidalee
Zed	Bard
Zed	Twisted Fate
Zed	Dr. Mundo
Tristana	Miss Fortune
Tristana	Bard
Zed	Nidalee
Zed	Dr. Mundo
Tristana	Twisted Fate
Dr. Mundo	Darius
Lee Sin	Dr. Mundo
Caitlyn	Alistar
Draven	Thresh
Caitlyn	Dr. Mundo
Draven	Caitlyn
Syndra	Thresh
Syndra	Darius
Syndra	Diana
Irelia	Darius
Thresh	Irelia
Draven	Lee Sin
Caitlyn	Draven
Irelia	Darius
Darius	Syndra
Dr. Mundo	Darius
Irelia	Diana
Caitlyn	Dr. Mundo
Caitlyn	Irelia
Diana	Draven
Dr. Mundo	Lee Sin
Dr. Mundo	Lee Sin
Draven	Diana
Darius	Dr. Mundo
Irelia	Lee Sin
Darius	Alistar
Syndra	Darius
Caitlyn	Draven
Caitlyn	Irelia
Syndra	Diana
Draven	Caitlyn
Irelia	Diana
Draven	Darius
Syndra	Thresh
Lulu	Syndra
Ezreal	Nautilus
Tristana	Ezreal
Rek'Sai	Hecarim
Syndra	Nautilus
Tristana	Ezreal
Tristana	Morgana
Lulu	Syndra
Morgana	Nautilus
Ezreal	Tristana
Lulu	Syndra
Renekton	Hecarim
Darius	Renekton
Morgana	Rek'Sai
Tristana	Darius
Tristana	Morgana
Nautilus	Hecarim
Tristana	Syndra
Tristana	Darius
Tristana	Morgana
Tristana	Hecarim
Syndra	Rek'Sai
Tristana	Syndra
Syndra	Lulu
Syndra	Tristana
Tristana	Syndra
Renekton	Ezreal
Tristana	Hecarim
Syndra	Renekton
Rek'Sai	Darius
Tristana	Ezreal
Nautilus	Hecarim
Rek'Sai	Syndra
Lulu	Morgana
Darius	Nautilus
Tristana	Syndra
Hecarim	Tristana
Lulu	Morgana
Syndra	Nautilus
Renekton	Hecarim
Hecarim	Tristana
Lulu	Hecarim
Lulu	Syndra
Darius	Nautilus
Renekton	Darius
Darius	Renekton
Ezreal	Rek'Sai
Lulu	Ezreal
Ezreal	Renekton
Tristana	Hecarim
Lulu	Darius
Tristana	Syndra
Lulu	Morgana
Ezreal	Nautilus
Lulu	Hecarim
Syndra	Nautilus
Ezreal	Lulu
Lulu	Ezreal
Darius	Renekton
Darius	Tristana
Syndra	Lulu
Hecarim	Nautilus
Darius	Rek'Sai
Darius	Rek'Sai
Tristana	Hecarim
Tristana	Morgana
Darius	Nautilus
Tristana	Ezreal
Lulu	Syndra
Twitch	Fiora
Fiora	Twitch
Morgana	Lissandra
Twitch	Lee Sin
Lucian	Braum
Tristana	Alistar
Twitch	Morgana
Morgana	Lucian
Ahri	Braum
Lissandra	Fiora
Twitch	Braum
Lucian	Tristana
Fiora	Lucian
Twitch	Fiora
Lissandra	Braum
Morgana	Twitch
Tristana	Lissandra
Ahri	Fiora
Tristana	Alistar
Morgana	Lissandra
Twitch	Fiora
Tristana	Twitch
Twitch	Fiora
Lee Sin	Lucian
Ahri	Braum
Morgana	Lissandra
Lee Sin	Alistar
Tristana	Lucian
Lee Sin	Alistar
Fiora	Twitch
Lee Sin	Twitch
Fiora	Alistar
Lee Sin	Lissandra
Morgana	Lucian
Lucian	Fiora
Lee Sin	Ahri
Twitch	Morgana
Lissandra	Tristana
Lee Sin	Twitch
Fiora	Lucian
Tristana	Ahri
Tristana	Lissandra
Tristana	Alistar
Twitch	Fiora
Tristana	Ahri
Lee Sin	Lucian
Tristana	Alistar
Lee Sin	Lissandra
Morgana	Twitch
Tristana	Lucian
Ahri	Braum
Ahri	Tristana
Fiora	Twitch
Lee Sin	Lissandra
Lee Sin	Vel'Koz
Lissandra	Tristana
Lee Sin	Twitch
Miss Fortune	Vel'Koz
Trundle	Tristana
Lee Sin	Twitch
Talon	Lee Sin
Lee Sin	Talon
Lissandra	Twitch
Miss Fortune	Tristana
Miss Fortune	Vel'Koz
Vel'Koz	Trundle
Miss Fortune	Tristana
Lissandra	Vel'Koz
Miss Fortune	Talon
Lissandra	Twitch
Tristana	Miss Fortune
Lee Sin	Vel'Koz
Twitch	Trundle
Teemo	Miss Fortune
Vel'Koz	Shen
Lee Sin	Vel'Koz
Lissandra	Talon
Lee Sin	Twitch
Miss Fortune	Talon
Vel'Koz	Lissandra
Vel'Koz	Miss Fortune
Lee Sin	Teemo
Talon	Shen
Twitch	Miss Fortune
Twitch	Trundle
Lee Sin	Twitch
Lissandra	Teemo
Vel'Koz	Lee Sin
Lissandra	Teemo
Miss Fortune	Twitch
Talon	Miss Fortune
Lee Sin	Talon
Shen	Twitch
Lee Sin	Teemo
Lee Sin	Vel'Koz
Tristana	Lissandra
Tristana	Lee Sin
Tristana	Trundle
Miss Fortune	Talon
Tristana	Miss Fortune
Lissandra	Teemo
Talon	Lee Sin
Lissandra	Talon
Vel'Koz	Miss Fortune
Trundle	Vel'Koz
Lee Sin	Twitch
Teemo	Trundle
Talon	Shen
Lissandra	Twitch
Talon	Miss Fortune
Lee Sin	Tristana
Talon	Lee Sin
Talon	Trundle
Miss Fortune	Twitch
Tristana	Shen
Lissandra	Talon
Lee Sin	Tristana
Miss Fortune	Teemo
Lissandra	Twitch
Talon	Lissandra
Miss Fortune	Talon
Miss Fortune	Vel'Koz
Lissandra	Twitch
Miss Fortune	Talon
Lee Sin	Vel'Koz
Miss Fortune	Tristana
Miss Fortune	Teemo
Shen	Twitch
LeBlanc	Talon
Rengar	Twitch
Janna	Ezreal
Nautilus	Janna
Rengar	Twitch
Fiora	Rengar
Fiora	Yasuo
LeBlanc	Talon
Talon	LeBlanc
Rengar	Twitch
Yasuo	Fiora
Rengar	Twitch
Ezreal	Janna
Talon	LeBlanc
Corki	Fiora
Talon	LeBlanc
Rengar	Ezreal
Ezreal	Rengar
Fiora	Janna
Rengar	Fiora
Talon	LeBlanc
Corki	Ezreal
Corki	Twitch
Corki	Nautilus
Talon	LeBlanc
Yasuo	Fiora
Rengar	Fiora
Twitch	Yasuo
Corki	Twitch
Rengar	Nautilus
Twitch	Rengar
Twitch	Corki
Ezreal	Janna
Corki	Twitch
LeBlanc	Corki
Talon	LeBlanc
Talon	Nautilus
Rengar	Ezreal
Talon	Twitch
Twitch	Yasuo
Talon	Fiora
LeBlanc	Corki
Talon	Ezreal
Talon	LeBlanc
Yasuo	Twitch
Rengar	Ezreal
Twitch	Lee Sin
Miss Fortune	Vayne
Sona	Blitzcrank
Lissandra	Fiora
Lissandra	Orianna
Fiora	Yasuo
Sona	Blitzcrank
Twitch	Lee Sin
Miss Fortune	Blitzcrank
Sona	Twitch
Yasuo	Sona
Yasuo	Miss Fortune
Orianna	Vayne
Orianna	Yasuo
Twitch	Orianna
Miss Fortune	Twitch
Lissandra	Orianna
Orianna	Yasuo
Fiora	Twitch
Vayne	Lee Sin
Miss Fortune	Blitzcrank
Sona	Blitzcrank
Yasuo	Miss Fortune
Yasuo	Orianna
Twitch	Sona
Lissandra	Lee Sin
Vayne	Fiora
Miss Fortune	Yasuo
Lissandra	Orianna
Miss Fortune	Lissandra
Twitch	Miss Fortune
Sona	Twitch
Fiora	Blitzcrank
Lee Sin	Vayne
Lee Sin	Twitch
Vayne	Fiora
Yasuo	Miss Fortune
Orianna	Lissandra
Orianna	Blitzcrank
Yasuo	Orianna
Yasuo	Sona
Fiora	Yasuo
Vayne	Lee Sin
Miss Fortune	Blitzcrank
Miss Fortune	Lissandra
Yasuo	Miss Fortune
Twitch	Sona
Vayne	Fiora
Yasuo	Orianna
Vayne	Lee Sin
Fiora	Vayne
Yasuo	Fiora
Yasuo	Orianna
Miss Fortune	Blitzcrank
Vayne	Miss Fortune
Lee Sin	Vayne
Lissandra	Sona
Lissandra	Lee Sin
Lissandra	Fiora
Yasuo	Orianna
Twitch	Kassadin
Twitch	Kassadin
Twitch	Lee Sin
Blitzcrank	Twitch
Tristana	Thresh
Fiora	Lucian
Twitch	Fiora
Twitch	Kassadin
Blitzcrank	Twitch
Lee Sin	Twisted Fate
Irelia	Fiora
Lee Sin	Lucian
Twitch	Kassadin
Blitzcrank	Twitch
Twisted Fate	Fiora
Lee Sin	Twitch
Fiora	Irelia
Tristana	Twitch
Thresh	Fiora
Lee Sin	Lucian
Twisted Fate	Lee Sin
Tristana	Twitch
Irelia	Fiora
Lee Sin	Irelia
Twisted Fate	Tristana
Irelia	Fiora
Twitch	Kassadin
Twitch	Blitzcrank
Twitch	Lee Sin
Twisted Fate	Blitzcrank
Lee Sin	Thresh
Twisted Fate	Blitzcrank
Fiora	Twitch
Twisted Fate	Blitzcrank
Twitch	Fiora
Twitch	Lee Sin
Twisted Fate	Tristana
Lucian	Kassadin
Blitzcrank	Twitch
Lucian	Blitzcrank
Kassadin	Irelia
Twisted Fate	Fiora
Lee Sin	Irelia
Twitch	Tristana
Lee Sin	Twitch
Lucian	Blitzcrank
Lee Sin	Lucian
Twitch	Lee Sin
Tristana	Thresh
Twisted Fate	Tristana
Lucian	Fiora
Twisted Fate	Blitzcrank
Lucian	Kassadin
Lucian	Lee Sin
Bard	Miss Fortune
Twitch	Zed
Twitch	Malphite
Nidalee	LeBlanc
Bard	Miss Fortune
Nidalee	Twitch
Twitch	Zed
Nidalee	Twitch
Lucian	Thresh
Lucian	Miss Fortune
Nidalee	Riven
Lucian	Thresh
Zed	Twitch
LeBlanc	Zed
Lucian	Miss Fortune
Nidalee	LeBlanc
Lucian	Thresh
Riven	Nidalee
Riven	Malphite
Zed	Riven
Twitch	Miss Fortune
LeBlanc	Thresh
Lucian	Zed
Nidalee	Twitch
Lucian	Malphite
Bard	Thresh
Zed	Lucian
Zed	Bard
Lucian	Thresh
Nidalee	Riven
LeBlanc	Miss Fortune
Lucian	Zed
Zed	Riven
Twitch	Zed
Nidalee	Bard
LeBlanc	Thresh
Malphite	Lucian
Twitch	Nidalee
Zed	Twitch
Twitch	Nidalee
Lucian	Miss Fortune
Zed	Twitch
Nidalee	Lucian
Bard	Nidalee
Zed	LeBlanc
Lucian	Nidalee
Bard	Miss Fortune
Twitch	Zed
Miss Fortune	Twitch
Miss Fortune	Lucian
Riven	Thresh
Nidalee	Bard
LeBlanc	Malphite
Lucian	Miss Fortune
Zed	Twitch
Lucian	Nidalee
Thresh	Bard
Twitch	Zed
LeBlanc	Miss Fortune
Twitch	Malphite
Nidalee	LeBlanc
Lucian	Nidalee
Miss Fortune	Twitch
Riven	Nidalee
LeBlanc	Malphite
Zed	Twitch
Riven	Thresh
Zed	Riven
LeBlanc	Miss Fortune
Bard	Nidalee
LeBlanc	Zed
LeBlanc	Thresh
Kennen	Irelia
Lee Sin	Kennen
Lee Sin	LeBlanc
Rengar	Irelia
Corki	Ezreal
Syndra	LeBlanc
Rengar	Syndra
LeBlanc	Syndra
Kennen	Irelia
Rengar	Lee Sin
Syndra	LeBlanc
Lee Sin	Rengar
Nautilus	Ezreal
Ezreal	Lee Sin
Syndra	Alistar
Syndra	LeBlanc
Rengar	Syndra
Rengar	Irelia
Corki	Alistar
Rengar	Lee Sin
Syndra	Rengar
Nautilus	LeBlanc
Ezreal	Syndra
Alistar	Irelia
Lee Sin	Alistar
LeBlanc	Corki
Syndra	Rengar
Kennen	Lee Sin
Nautilus	Kennen
LeBlanc	Corki
Rengar	Irelia
Irelia	Kennen
Ezreal	Corki
LeBlanc	Syndra
Nautilus	LeBlanc
Lee Sin	Rengar
Corki	Kennen
Corki	LeBlanc
Irelia	Kennen
Alistar	Irelia
Syndra	Alistar
Rengar	Lee Sin
Corki	Rengar
Corki	Kennen
Rengar	Syndra
Irelia	Kennen
LeBlanc	Corki
Lee Sin	LeBlanc
Alistar	Lee Sin
Alistar	Nautilus
Irelia	Rengar
LeBlanc	Syndra
Irelia	Rengar
Ezreal	Irelia
Corki	LeBlanc
Syndra	Kennen
LeBlanc	Syndra
Lee Sin	Rengar
Irelia	LeBlanc
Corki	Kennen
Corki	Alistar
Irelia	Ezreal
Talon	Fizz
Fizz	Twitch
Corki	Miss Fortune
Fizz	Talon
Twitch	Ryze
Miss Fortune	Lee Sin
Vel'Koz	Corki
Lee Sin	Shaco
Vel'Koz	Trundle
Talon	Fizz
Corki	Vel'Koz
Miss Fortune	Corki
Fizz	Talon
Miss Fortune	Trundle
Lee Sin	Twitch
Talon	Lee Sin
Ryze	Talon
Ryze	Shaco
Miss Fortune	Trundle
Twitch	Corki
Shaco	Ryze
Vel'Koz	Trundle
Fizz	Talon
Vel'Koz	Fizz
Miss Fortune	Lee Sin
Fizz	Twitch
Talon	Ryze
Miss Fortune	Corki
Talon	Fizz
Lee Sin	Vel'Koz
Twitch	Corki
Lee Sin	Miss Fortune
Ryze	Twitch
Lee Sin	Talon
Ryze	Shaco
Talon	Ryze
Miss Fortune	Lee Sin
Ryze	Vel'Koz
Talon	Corki
Lee Sin	Talon
